Price;Size;Rooms;Toilets;Parking
435000;67;2;2;1
530000;93;3;2;2
470000;64;3;2;2
580000;68;2;2;1
490000;62;2;2;1
695000;76;3;2;2
730000;100;3;3;2
774000;100;3;3;2
1290000;132;3;3;2
751665;93;3;3;2
550000;70;3;2;1
642000;79;3;2;1
580000;68;2;2;1
940000;102;3;3;2
525000;51;1;2;1
418886;61;2;2;1
323000;34;1;2;1
323000;34;1;2;1
340000;50;1;2;1
328000;40;1;2;1
475000;40;1;2;1
1900000;191;3;3;1
338000;37;1;2;1
325000;50;1;2;1
365000;36;1;2;2
323000;34;1;2;1
349000;36;1;2;1
344000;38;1;2;1
790000;93;3;3;1
550000;60;2;2;1
2500000;390;3;3;2
513250;41;1;2;1
320000;37;1;2;1
575000;64;2;2;1
385000;55;1;2;1
440000;38;1;2;1
270000;47;1;2;1
349000;36;1;2;1
900000;116;2;2;1
990000;110;3;2;1
850000;120;2;2;1
316000;37;1;2;1
460000;72;2;2;1
479000;58;2;2;1
400000;57;2;2;1
427000;57;2;2;1
750000;96;3;3;2
345000;52;2;2;1
380000;58;2;2;1
560000;70;3;2;1
241000;33;1;2;1
530000;132;3;2;1
300000;74;2;2;1
267000;30;1;2;1
424000;57;2;2;1
570000;68;3;2;1
430000;58;2;2;1
790000;97;3;3;2
630000;176;3;2;1
218000;30;1;2;1
490000;150;4;3;1
466000;57;2;2;1
208191;36;1;2;1
400000;100;2;2;1
900000;96;2;3;2
330000;91;3;2;1
275000;80;2;2;1
450000;97;2;2;1
250000;30;1;2;1
450000;98;3;2;1
350000;88;2;2;1
360000;69;2;2;1
322000;55;2;2;1
179000;44;2;2;1
322000;55;2;2;1
385000;65;3;2;1
373000;57;2;2;1
399000;57;3;2;1
332000;60;2;2;2
350000;55;2;2;1
319500;49;2;2;1
250000;39;1;2;1
332000;51;2;2;1
293500;45;1;2;1
392362;57;2;2;1
322000;55;2;2;1
378360;62;2;2;1
327000;55;2;2;1
180000;45;2;2;1
354000;57;2;2;1
390000;70;2;2;1
375000;67;2;2;1
295000;45;1;2;1
194000;44;2;2;1
370000;57;2;2;1
182000;44;2;2;1
270000;50;2;2;1
679000;54;2;2;1
930000;90;3;2;1
380000;48;2;2;2
405000;35;1;2;1
680000;48;1;2;1
723998;67;2;2;1
1900000;200;3;4;2
315000;42;1;2;1
260865;32;1;2;1
2200000;235;3;3;1
850000;85;2;2;1
620000;55;2;2;1
900000;60;2;2;2
1450000;130;3;4;2
710000;55;2;2;1
2600000;213;4;2;3
950000;138;2;2;2
460000;37;1;2;1
750000;108;2;2;1
1250000;118;3;3;1
430000;38;1;2;1
400000;35;1;2;1
486000;41;1;2;1
390000;54;1;2;1
265000;45;2;2;1
185000;38;2;2;1
450000;80;3;2;2
350000;46;2;2;1
315000;53;2;2;1
299000;45;2;2;1
265000;48;2;2;1
189001;37;2;2;1
189003;37;2;2;1
125000;32;1;2;1
165000;50;1;2;1
899000;75;2;2;1
199000;37;2;2;1
210000;34;1;2;1
500000;60;2;2;1
189002;37;2;2;1
200000;34;1;2;1
225000;37;1;2;1
635792;66;2;2;1
189000;37;2;2;1
213000;37;2;2;1
261000;45;2;2;1
450000;56;2;2;1
400000;55;2;2;1
380000;62;3;2;1
410000;61;3;2;1
680000;87;3;2;2
410000;56;2;2;1
530000;75;2;2;1
319000;65;3;2;1
356000;52;2;2;1
360000;53;2;2;1
342700;62;3;2;1
470000;66;2;2;1
620000;78;3;2;1
380000;55;2;2;1
380000;61;2;2;1
670000;83;2;2;2
370000;57;2;2;1
400000;53;2;2;1
600000;85;3;3;2
450000;61;3;2;1
898000;135;4;4;2
430000;61;2;2;1
630000;85;2;3;2
907000;123;4;4;2
873000;123;3;4;2
898000;135;3;4;2
350000;53;2;2;1
430000;62;3;2;1
690000;83;2;2;2
700000;103;4;3;2
530000;75;2;2;1
700000;103;3;3;2
475000;93;3;2;1
840000;310;3;3;1
265000;44;1;2;1
297990;31;1;2;1
189998;35;1;2;1
1650000;266;4;4;2
571258;39;1;2;1
2550000;348;3;2;1
390000;40;1;2;1
650000;113;4;3;1
590000;120;2;2;1
320000;56;1;2;1
310000;47;1;2;1
385000;40;1;2;1
3550000;400;2;4;1
605000;65;2;2;1
385000;40;1;2;1
472869;39;1;2;1
259700;38;1;2;1
250000;70;2;2;1
295000;45;1;2;1
426427;39;1;2;1
300000;56;1;2;1
447000;59;2;2;1
2790000;200;3;6;3
1100000;140;3;2;1
1260000;103;3;2;2
700000;80;2;2;1
350000;56;1;2;1
251000;51;1;2;1
595000;68;2;2;1
880000;128;3;3;1
760000;70;2;2;1
760000;62;2;2;1
400000;60;2;2;1
510000;85;2;2;1
700000;97;2;2;1
1476000;220;3;3;1
454000;59;2;2;1
595000;59;2;2;1
650000;81;2;2;1
590000;65;2;2;1
360000;37;1;2;1
890000;127;3;2;1
375000;42;1;2;1
3800000;320;3;4;4
275000;72;1;2;1
900000;150;3;3;1
595000;62;2;2;1
2800000;210;4;3;3
480000;84;2;2;1
500000;105;2;2;1
2800000;256;3;5;2
2190000;156;3;5;2
1220000;100;3;3;1
1549000;94;2;3;2
1190000;101;2;4;1
1680000;135;3;4;1
499000;66;2;2;2
812034;125;3;3;2
175000;39;2;2;1
239999;56;2;2;1
144000;48;2;2;1
225000;42;2;2;1
245000;54;2;2;1
1500000;120;3;3;2
280000;47;2;2;1
240000;50;2;2;1
315479;64;3;2;2
850000;94;3;2;2
895000;96;3;2;2
488000;69;3;2;2
300000;51;2;2;1
226500;41;2;2;1
842500;109;3;4;1
541600;69;2;2;1
294000;50;2;2;1
520000;76;3;2;2
590000;100;3;3;2
530000;97;3;3;1
649000;65;2;2;2
330000;47;2;2;1
835000;126;3;4;3
570000;74;2;2;1
300000;55;2;2;1
631860;59;2;1;1
375000;50;1;2;2
530000;96;3;2;1
389000;53;2;2;2
409000;55;2;2;1
850000;100;2;3;2
531000;78;3;2;2
1593530;157;4;1;1
520000;95;3;2;1
760000;88;3;2;2
490000;64;2;2;1
430000;55;2;2;1
776000;88;3;3;2
350000;66;2;2;2
510000;65;2;2;1
800000;90;3;3;1
329000;47;1;2;1
675000;90;3;3;2
660000;78;2;3;2
1813610;202;4;1;1
450000;60;2;2;2
1450000;134;3;5;2
875000;100;3;4;2
550000;84;3;2;2
379000;48;2;2;1
460000;78;3;2;2
250000;60;2;2;1
290000;58;2;2;1
290000;90;3;2;1
254926;45;2;2;1
270000;70;2;2;1
290000;78;2;2;2
290600;51;2;2;1
240000;81;2;2;1
365000;67;3;2;1
350000;78;3;2;2
650000;248;3;2;2
270000;67;2;2;1
365000;67;3;2;1
160000;35;1;2;1
220000;45;2;2;1
260000;62;2;2;1
359000;67;3;2;1
340466;60;3;2;1
370000;90;3;2;2
370000;67;3;2;1
293000;49;2;2;1
350000;74;3;2;1
290000;91;3;2;2
280000;45;2;2;1
250000;45;2;2;1
280000;78;2;2;1
280000;62;2;2;2
320000;64;2;2;1
232000;48;2;2;1
665000;83;3;3;2
447000;65;2;2;1
310000;50;2;2;2
600000;70;3;2;2
321000;50;2;2;2
760000;104;3;4;2
595000;80;3;2;2
390000;65;2;2;1
321000;51;2;2;2
435000;77;3;2;2
565000;93;3;2;2
325000;55;2;2;2
480000;73;3;2;2
313000;51;2;2;2
297000;50;2;2;2
321000;51;2;2;2
315000;54;2;2;2
360000;70;3;2;1
321000;50;2;2;2
295000;50;2;2;1
550000;76;3;2;2
779000;143;3;3;3
350000;50;2;2;1
550000;90;3;2;3
429000;88;3;2;2
420000;50;2;2;1
880000;123;3;5;3
290000;48;2;2;1
495000;98;3;2;2
500000;86;3;2;2
376000;63;2;2;1
475000;73;2;2;1
680000;118;3;2;1
1220000;140;3;5;2
475000;68;3;3;1
450000;42;1;2;2
292000;50;2;2;1
400000;52;2;2;1
1500000;145;3;5;3
819900;108;3;3;2
986000;92;3;3;2
540000;62;2;2;1
1500000;143;3;4;4
250000;58;2;2;1
453128;64;2;2;1
1380000;170;3;5;3
660000;110;3;3;2
2730000;250;4;5;4
832000;108;4;4;2
430000;54;2;2;1
615000;95;3;3;2
599999;84;3;2;2
1775000;189;3;5;3
1890000;189;3;5;3
480000;63;2;2;2
245000;51;2;2;1
1158128;151;1;2;2
233000;51;2;2;1
225000;51;2;2;1
340000;51;2;2;1
600000;85;3;2;1
230000;51;2;2;1
1190000;172;3;2;3
585000;70;2;2;1
420000;59;2;2;1
300000;80;3;2;1
280000;51;2;2;1
349000;74;2;2;2
380000;59;2;2;1
500000;59;2;2;1
240000;50;2;2;1
690000;78;2;2;2
800000;110;3;2;2
1200000;146;4;4;4
410000;63;2;2;1
265000;50;2;2;1
750000;99;3;2;2
1225000;153;2;3;2
618000;83;3;2;1
850000;151;3;2;2
950000;170;3;2;2
600000;80;2;2;2
179000;50;2;2;1
1200000;167;3;2;2
550000;70;3;2;2
378000;61;2;2;1
350000;91;3;2;1
390000;66;3;2;2
490000;92;3;3;2
350000;50;2;2;2
825000;148;3;5;3
550000;89;1;2;1
420000;67;3;2;1
430000;67;2;2;1
585000;70;2;2;1
458000;67;2;2;1
565000;89;3;2;2
900000;133;3;3;2
500000;70;3;2;1
445000;70;2;2;2
580000;104;2;3;1
258600;60;3;2;1
650000;82;3;2;1
690000;94;3;2;2
250000;50;1;2;1
640000;82;2;2;1
640000;108;2;2;2
350000;43;1;2;1
470000;75;2;2;1
335000;50;2;2;2
680000;95;3;3;2
249000;43;2;2;1
550000;100;2;3;1
939000;122;3;4;3
374000;62;2;2;1
368550;62;2;2;1
375000;67;3;2;1
299000;53;2;2;1
480000;70;3;2;2
417576;64;2;2;1
203000;60;2;2;1
1360000;126;3;5;3
340000;63;2;2;1
990000;140;3;4;2
529000;73;3;2;2
290000;49;2;2;1
530000;65;3;2;2
279000;50;2;2;1
399000;62;3;2;1
729000;97;3;2;2
449000;67;3;2;1
470000;66;3;2;1
510000;64;2;2;2
470000;78;2;2;1
625000;78;3;2;2
360000;65;3;2;1
275000;43;1;2;1
448000;68;3;2;2
500000;79;3;2;2
355500;58;2;2;1
285000;50;2;2;1
315000;50;2;2;1
898000;135;4;4;2
280000;48;2;2;1
1060000;125;3;4;2
280000;50;2;2;1
319200;60;3;2;1
425000;64;3;2;2
450000;63;3;2;1
362700;59;3;3;2
447000;63;2;2;1
209000;50;2;2;1
590000;78;3;2;1
362677;59;3;2;1
251800;63;3;2;1
362677;45;2;2;1
415000;63;3;2;1
383000;63;3;2;1
250000;50;2;2;1
250000;39;1;2;1
365000;59;3;2;1
333300;62;3;2;1
251000;40;1;2;1
377800;63;3;2;1
648000;80;3;3;2
251722;39;2;2;1
317000;50;2;2;1
430225;63;3;2;1
390000;59;3;2;1
362677;59;3;2;1
386000;60;3;2;1
645000;78;2;3;2
437000;63;2;2;1
207000;40;2;1;1
690000;79;3;2;2
382900;59;3;2;1
298000;50;2;2;1
550000;80;3;2;2
375000;63;3;2;1
350000;63;3;2;1
299900;67;2;2;1
334000;80;3;2;2
270000;66;2;2;1
440000;88;3;3;2
410000;118;3;2;2
250550;59;2;2;1
310800;80;3;3;2
230000;66;2;2;1
230000;64;2;2;1
160000;49;2;2;1
170000;50;2;2;1
185000;48;2;2;1
288000;66;2;2;1
180000;48;2;2;1
265000;60;2;2;1
149800;68;2;2;1
330000;74;2;2;2
195000;48;2;2;1
322000;80;3;2;2
220000;54;2;2;1
250000;68;2;2;1
240000;60;2;2;1
239500;66;2;2;1
238000;60;2;2;1
250000;66;2;2;1
370000;60;2;2;1
520000;103;3;3;2
304000;47;2;2;1
570000;98;3;3;2
570000;75;3;2;2
319000;60;2;2;1
330000;57;2;2;1
440000;64;2;2;2
480000;94;3;3;1
580000;87;3;2;2
440000;63;3;2;1
424000;63;3;2;1
950000;197;4;4;2
460000;63;3;2;1
420000;82;3;2;1
750000;118;3;3;2
390000;63;2;2;1
745000;97;3;2;2
450000;63;2;2;1
570000;98;3;2;1
930000;160;3;4;2
370000;48;2;2;1
430000;63;3;2;2
550000;70;2;2;1
740000;93;2;2;2
580000;72;2;3;2
690000;87;3;2;2
405000;62;2;2;1
580000;108;3;3;2
370000;45;1;2;2
790000;113;3;2;2
430000;65;2;2;1
470000;70;2;2;2
199000;45;2;2;1
490000;74;2;2;1
486000;70;2;2;1
620000;90;3;2;2
385000;61;3;2;2
199990;47;2;2;1
310000;67;3;2;2
460000;65;2;2;1
375000;57;2;2;1
360000;54;2;2;2
225000;47;2;2;1
440000;66;2;2;1
380000;54;2;2;1
455200;65;2;2;1
310000;67;3;2;2
380000;55;2;2;1
300000;67;3;2;2
860000;145;3;2;2
630000;86;3;2;1
270000;68;2;2;1
350000;64;3;2;1
239000;64;3;2;1
325000;50;2;1;1
340000;54;2;2;1
410000;77;3;2;2
300000;67;3;2;2
205000;49;2;2;1
228000;44;2;2;1
380000;58;2;2;2
215000;52;2;2;1
169000;40;2;1;1
179999;40;2;2;1
159000;35;2;2;1
169000;37;1;2;1
195000;48;2;2;1
154500;47;2;2;1
199000;45;2;2;1
160000;43;2;2;1
169000;40;2;2;1
240000;45;2;2;1
219000;56;2;2;1
179000;40;2;2;1
180000;60;2;2;1
179000;42;2;2;1
250000;45;2;2;1
220000;52;2;2;1
165000;39;1;2;1
194900;43;2;2;1
170000;32;1;2;1
185000;56;2;2;1
179000;40;2;2;1
150000;49;2;2;1
179000;40;2;2;1
179000;40;2;2;1
185000;48;2;2;1
160000;48;2;2;1
220000;56;2;2;1
170000;48;2;2;1
699000;87;3;2;2
322000;55;2;2;1
722000;95;3;4;2
327000;55;2;2;1
700000;95;3;3;2
379000;65;3;2;1
1200000;232;3;2;3
209000;44;2;2;1
379000;65;3;2;1
520000;78;2;2;1
322000;55;2;2;1
379000;65;3;2;1
247900;44;2;2;1
235000;38;1;2;1
385000;65;3;2;1
899999;119;3;4;2
625000;91;3;2;2
480000;63;3;2;1
321900;56;2;2;1
480000;71;2;2;1
175000;32;1;2;1
220000;44;2;2;1
322000;55;2;2;1
299900;53;2;2;1
232000;44;2;2;1
300000;54;2;2;1
370000;50;2;2;1
415000;50;1;2;1
420000;54;2;2;1
372500;55;2;2;1
800000;95;3;2;2
917000;119;3;4;2
1364000;136;3;2;2
430000;54;2;2;1
1380000;198;4;2;2
703000;91;3;2;1
950000;220;3;2;2
590000;95;3;2;1
905000;247;3;4;3
1900000;221;4;5;4
240000;44;2;2;1
339000;78;1;1;1
375000;72;2;2;1
690000;85;2;2;2
450000;65;2;2;1
833000;119;3;4;3
680000;95;3;2;2
438100;65;3;2;1
490000;80;2;2;2
493000;77;2;2;1
358000;59;3;2;1
448000;59;2;2;1
295000;54;2;2;1
220000;52;2;2;1
215000;40;1;2;1
310000;78;3;2;1
250000;47;2;2;1
360000;70;3;2;1
260000;52;2;2;1
169000;41;2;2;1
265000;56;2;2;1
350000;70;3;2;1
330000;72;3;2;1
220000;52;2;2;1
149900;33;1;2;1
159000;30;1;2;1
340000;56;2;2;1
220000;48;2;2;1
300000;66;3;2;1
270000;62;2;2;1
242000;50;2;2;1
265000;52;2;2;1
244000;47;2;2;1
265000;54;2;2;1
265000;90;2;2;1
199900;47;2;2;1
230000;47;2;2;1
245000;48;2;2;1
220000;47;2;2;1
300000;52;2;2;1
470000;66;2;2;1
245000;49;2;2;1
225000;47;2;2;1
685900;96;3;3;2
485000;68;2;2;2
849100;90;3;2;3
278000;50;2;2;1
830000;98;3;3;2
418000;70;3;2;2
825000;115;3;4;2
670000;103;3;4;2
950000;223;3;4;4
1400000;152;3;4;2
485600;68;2;2;2
385000;60;2;2;1
678900;119;3;3;2
698500;103;3;3;2
700000;150;4;3;2
370000;64;2;2;1
228000;45;2;2;1
585000;80;3;2;2
828900;115;3;4;2
653000;103;4;3;2
685000;96;3;3;2
480000;68;2;2;2
260000;46;2;2;1
750000;101;3;4;2
653000;103;3;3;2
687000;96;3;3;2
385000;60;2;2;1
679500;119;4;3;2
415000;68;3;2;2
162000;41;2;2;1
164000;42;2;2;1
230000;51;2;2;1
202000;47;2;2;1
233000;54;2;2;1
189000;49;2;2;1
200000;45;2;2;1
162000;43;2;2;1
150000;47;2;2;1
210000;51;2;2;1
169000;40;2;2;1
229000;52;2;2;1
250000;50;2;2;1
209000;50;2;2;1
210000;48;2;2;1
235000;46;2;2;1
198000;45;2;2;1
270000;48;2;2;1
215000;48;2;2;1
240000;55;2;2;1
229000;57;2;2;1
250000;44;2;2;1
210000;67;3;2;1
250000;58;2;2;1
186000;47;2;2;1
225000;47;2;2;1
165000;49;2;2;1
122000;56;2;2;1
120000;48;2;2;1
125000;50;2;2;1
70000;48;2;2;1
72000;50;2;2;1
65000;48;2;2;1
110000;52;2;2;1
85000;40;2;2;1
110000;40;2;2;1
84000;49;2;2;1
137900;57;2;2;1
120000;51;2;2;1
120000;45;2;2;1
110000;42;2;2;1
115000;48;2;2;1
80000;50;2;2;1
110000;42;2;2;1
110000;42;1;2;1
110000;40;1;2;1
140000;47;2;2;1
95000;47;2;2;1
77000;60;2;2;1
150000;42;2;2;1
85000;50;2;2;1
164000;46;2;2;1
120000;48;2;2;1
140000;47;2;2;1
90000;45;2;2;1
182900;41;2;2;1
169900;41;2;1;1
255000;57;2;2;1
238600;48;2;2;1
220000;44;2;2;1
205000;50;2;2;1
260000;72;3;2;1
169900;41;2;1;1
350000;65;2;2;1
320000;66;3;2;1
270000;50;2;2;1
350000;76;3;2;1
290000;55;2;2;1
183017;40;2;2;1
250000;48;2;2;1
259000;63;2;2;1
280000;63;3;2;1
360000;76;3;2;1
199000;48;2;2;1
245000;55;2;2;1
270000;63;2;2;1
270000;65;2;2;1
280000;64;2;2;1
220000;47;2;2;1
195000;55;2;2;1
255000;64;2;2;1
250000;50;2;2;1
490000;130;3;2;1
1250000;146;4;3;4
190000;43;1;2;1
150000;56;2;2;1
128000;56;3;2;1
130000;52;2;2;1
135000;52;3;2;1
165000;53;2;2;1
135000;56;3;2;1
400000;50;2;2;1
95000;49;2;2;1
169000;58;2;2;1
143100;58;3;2;1
144900;49;2;2;1
153000;48;2;2;1
140000;60;2;2;1
185000;42;2;2;1
450000;70;2;2;2
169000;58;2;2;1
120000;56;2;2;1
130000;48;2;2;1
144900;56;2;2;1
190000;45;2;2;1
135000;43;2;2;1
99842;38;2;2;1
135000;56;2;2;1
158000;38;2;2;1
144900;56;2;2;1
7080000;275;4;5;5
1100000;131;3;3;1
1060000;137;3;3;1
10000000;343;4;7;5
1100000;130;3;3;1
1200000;120;3;2;1
790000;92;2;2;1
7765616;279;4;6;4
9979947;343;4;6;5
6750000;275;4;6;4
3850000;200;2;4;3
7500000;275;4;5;4
850000;108;3;2;1
1105000;45;1;2;1
900000;90;2;3;1
4900000;201;4;5;3
4900000;201;3;5;3
600000;78;2;2;1
1100000;110;3;3;1
120000;50;2;2;1
165000;50;2;2;1
240000;47;2;2;1
170000;41;2;2;1
120000;50;2;2;1
130000;50;2;2;1
150000;50;2;2;1
190000;48;3;2;1
190000;52;3;2;1
160000;44;2;2;1
185000;59;2;2;1
189000;47;2;2;1
85000;49;2;2;1
151000;52;2;2;1
135000;48;2;2;1
800000;90;3;3;1
220000;43;2;2;1
168000;46;2;2;1
170000;41;2;2;1
190000;46;2;2;1
160000;48;2;2;1
140000;45;2;2;1
180000;46;2;2;1
210000;56;3;2;1
290000;68;3;2;1
180000;47;2;2;1
210000;57;3;2;1
150000;52;2;2;1
169900;41;2;2;1
235000;48;2;2;1
185000;50;2;2;1
175000;41;2;2;1
174900;41;2;2;1
179900;42;2;2;1
174900;41;2;2;1
174000;40;2;2;1
290000;70;3;2;1
241000;51;2;2;1
149900;41;2;2;1
169900;41;2;2;1
174000;40;2;2;1
174900;41;2;2;1
159900;38;2;2;1
220000;55;2;2;1
233000;55;2;2;1
169000;39;2;2;1
179900;41;2;2;1
270000;50;2;2;1
343240;65;3;2;1
174900;41;2;2;1
360000;64;3;2;1
190000;55;3;2;1
232999;55;2;2;1
170000;56;2;2;1
199000;40;2;2;1
168910;45;2;1;1
203000;40;2;2;1
240000;43;2;2;1
265000;40;2;2;1
195000;44;2;2;1
200000;45;2;2;1
146220;38;2;1;1
169000;40;2;2;1
210000;40;2;2;1
85000;32;1;2;1
195000;40;2;2;1
98000;53;2;2;1
175000;55;2;2;1
250000;52;2;2;1
175000;37;2;2;1
159000;36;2;2;1
203000;40;2;2;1
147974;38;2;1;1
175000;37;2;2;1
120000;45;2;2;1
199000;44;2;2;1
203000;40;2;2;1
165000;36;2;2;1
250000;90;2;2;1
165000;36;2;2;1
240000;48;2;2;1
212000;46;2;2;1
276596;49;2;2;1
152900;37;2;2;1
274999;65;3;2;1
233999;55;2;2;1
169900;37;2;2;1
243999;57;2;2;1
180000;51;3;2;1
169900;37;2;2;1
166797;39;2;2;1
175000;57;3;2;1
171000;50;2;2;1
235000;45;2;2;1
186000;55;3;2;1
180000;47;2;2;1
296800;45;2;2;1
265000;45;2;2;1
165000;56;2;2;1
265000;45;2;2;1
742000;152;3;4;2
419000;70;2;2;1
185000;38;2;2;1
260000;55;2;2;1
221000;48;2;2;1
235450;47;2;2;1
221000;47;2;2;1
165000;48;2;2;1
144900;37;2;1;1
165000;50;2;2;1
150000;43;2;2;1
180000;70;3;2;1
130000;42;1;2;1
185000;52;2;2;1
155000;43;2;2;1
144900;37;2;1;1
150000;54;2;2;1
168000;42;1;2;1
180000;52;3;2;1
160000;47;2;2;1
169900;54;2;2;1
165000;50;2;2;1
160000;43;3;2;1
45000;40;2;2;1
180000;43;2;2;1
165000;47;2;2;1
200000;43;2;2;1
165000;45;2;2;1
200000;50;2;2;1
190000;52;2;2;1
205000;50;2;2;1
165000;48;2;2;1
190000;52;2;2;1
190000;50;2;2;1
165000;54;2;2;1
219000;56;2;2;1
169900;54;2;2;1
198500;50;2;2;1
190000;52;2;2;1
157900;37;2;2;1
200000;47;2;2;1
204899;46;2;2;1
149900;41;2;2;1
